genre,fname
pop,audio/gtzan/genres_original/pop/pop.00027.wav
pop,audio/gtzan/genres_original/pop/pop.00033.wav
pop,audio/gtzan/genres_original/pop/pop.00032.wav
pop,audio/gtzan/genres_original/pop/pop.00026.wav
pop,audio/gtzan/genres_original/pop/pop.00030.wav
pop,audio/gtzan/genres_original/pop/pop.00024.wav
pop,audio/gtzan/genres_original/pop/pop.00018.wav
pop,audio/gtzan/genres_original/pop/pop.00019.wav
pop,audio/gtzan/genres_original/pop/pop.00025.wav
pop,audio/gtzan/genres_original/pop/pop.00031.wav
pop,audio/gtzan/genres_original/pop/pop.00009.wav
pop,audio/gtzan/genres_original/pop/pop.00035.wav
pop,audio/gtzan/genres_original/pop/pop.00021.wav
pop,audio/gtzan/genres_original/pop/pop.00020.wav
pop,audio/gtzan/genres_original/pop/pop.00034.wav
pop,audio/gtzan/genres_original/pop/pop.00008.wav
pop,audio/gtzan/genres_original/pop/pop.00022.wav
pop,audio/gtzan/genres_original/pop/pop.00036.wav
pop,audio/gtzan/genres_original/pop/pop.00037.wav
pop,audio/gtzan/genres_original/pop/pop.00023.wav
pop,audio/gtzan/genres_original/pop/pop.00044.wav
pop,audio/gtzan/genres_original/pop/pop.00050.wav
pop,audio/gtzan/genres_original/pop/pop.00078.wav
pop,audio/gtzan/genres_original/pop/pop.00087.wav
pop,audio/gtzan/genres_original/pop/pop.00093.wav
pop,audio/gtzan/genres_original/pop/pop.00092.wav
pop,audio/gtzan/genres_original/pop/pop.00086.wav
pop,audio/gtzan/genres_original/pop/pop.00079.wav
pop,audio/gtzan/genres_original/pop/pop.00051.wav
pop,audio/gtzan/genres_original/pop/pop.00045.wav
pop,audio/gtzan/genres_original/pop/pop.00053.wav
pop,audio/gtzan/genres_original/pop/pop.00047.wav
pop,audio/gtzan/genres_original/pop/pop.00090.wav
pop,audio/gtzan/genres_original/pop/pop.00084.wav
pop,audio/gtzan/genres_original/pop/pop.00085.wav
pop,audio/gtzan/genres_original/pop/pop.00091.wav
pop,audio/gtzan/genres_original/pop/pop.00046.wav
pop,audio/gtzan/genres_original/pop/pop.00052.wav
pop,audio/gtzan/genres_original/pop/pop.00056.wav
pop,audio/gtzan/genres_original/pop/pop.00042.wav
pop,audio/gtzan/genres_original/pop/pop.00095.wav
pop,audio/gtzan/genres_original/pop/pop.00081.wav
pop,audio/gtzan/genres_original/pop/pop.00080.wav
pop,audio/gtzan/genres_original/pop/pop.00094.wav
pop,audio/gtzan/genres_original/pop/pop.00043.wav
